Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
,1,9780143132172,16,Leeila Slimani,The Perfect Nanny,15,Trade Paperback Fiction,1/24/2018
1,11,9781455563920,15.99,Min Jin Lee,Pachinko,1,Trade Paperback Fiction,1/31/2018
2,4,9780062563675,16.99,Jessica Shattuck,The Women in the Castle,2,Trade Paperback Fiction,1/31/2018
3,43,9781501173219,17,Anthony Doerr,All the Light We Cannot See,3,Trade Paperback Fiction,1/31/2018
10,4,9780399563096,16,Georgia Hunter,We Were the Lucky Ones,4,Trade Paperback Fiction,1/31/2018
5,42,9781501132957,16,Ruth Ware,The Woman in Cabin 10,5,Trade Paperback Fiction,1/31/2018
4,40,9780525435006,15.95,Margaret Atwood,The Handmaid's Tale,6,Trade Paperback Fiction,1/31/2018
6,17,9781449486792,16.99,Rupi Kaur,The Sun and Her Flowers,7,Trade Paperback Fiction,1/31/2018
7,25,9780307887443,16,Ernest Cline,Ready Player One,8,Trade Paperback Fiction,1/31/2018
15,2,9780143132172,16,Leeila Slimani,The Perfect Nanny,9,Trade Paperback Fiction,1/31/2018
8,48,9781101883082,17,Martha Hall Kelly,Lilac Girls,10,Trade Paperback Fiction,1/31/2018
9,73,9781449474256,14.99,Rupi Kaur,Milk and Honey,11,Trade Paperback Fiction,1/31/2018
11,35,9780735221109,16,Shari Lapena,The Couple Next Door,12,Trade Paperback Fiction,1/31/2018
13,3,9781250169440,17,Andre Aciman,Call Me by Your Name,13,Trade Paperback Fiction,1/31/2018
14,29,9781250132369,16.99,B.A. Paris,Behind Closed Doors,14,Trade Paperback Fiction,1/31/2018
12,3,9781101973486,16,Peter Heller,Celine,15,Trade Paperback Fiction,1/31/2018
1,128,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,1/3/2018
2,17,9781250076229,16,Atul Gawande,Being Mortal,2,Trade Paperback Nonfiction,1/3/2018
5,5,9781101912379,20,Peter Frankopan,The Silk Roads,3,Trade Paperback Nonfiction,1/3/2018
3,16,9781455540013,15.99,Douglas Preston,The Lost City of the Monkey God,4,Trade Paperback Nonfiction,1/3/2018
4,9,9780393354775,16.95,Michael Lewis,The Undoing Project,5,Trade Paperback Nonfiction,1/3/2018
9,28,9781476759739,16,Jonah Berger,Invisible Influence,6,Trade Paperback Nonfiction,1/3/2018
6,11,9781476796024,17,Alexandra Horowitz,Being a Dog,7,Trade Paperback Nonfiction,1/3/2018
7,42,9780804190114,7.99,Timothy Snyder,On Tyranny,8,Trade Paperback Nonfiction,1/3/2018
,1,9781501178511,18,Doug Stanton,12 Strong,9,Trade Paperback Nonfiction,1/3/2018
8,26,9781476739236,16,Robert Moor,On Trails,10,Trade Paperback Nonfiction,1/3/2018
,70,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,11,Trade Paperback Nonfiction,1/3/2018
11,66,9780143034759,20,Ron Chernow,Alexander Hamilton,12,Trade Paperback Nonfiction,1/3/2018
,50,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,13,Trade Paperback Nonfiction,1/3/2018
10,5,9781571987358,7.95,Old Farmer's Almanac,The Old Farmer's Almanac 2018,14,Trade Paperback Nonfiction,1/3/2018
12,31,9780399563126,17,Jennifer Ackerman,The Genius of Birds,15,Trade Paperback Nonfiction,1/3/2018
1,129,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,1/10/2018
3,6,9781101912379,20,Peter Frankopan,The Silk Roads,2,Trade Paperback Nonfiction,1/10/2018
4,17,9781455540013,15.99,Douglas Preston,The Lost City of the Monkey God,3,Trade Paperback Nonfiction,1/10/2018
9,2,9781501178511,18,Doug Stanton,12 Strong,4,Trade Paperback Nonfiction,1/10/2018
6,29,9781476759739,16,Jonah Berger,Invisible Influence,5,Trade Paperback Nonfiction,1/10/2018
2,18,9781250076229,16,Atul Gawande,Being Mortal,6,Trade Paperback Nonfiction,1/10/2018
7,12,9781476796024,17,Alexandra Horowitz,Being a Dog,7,Trade Paperback Nonfiction,1/10/2018
,34,9780553447453,17,Matthew Desmond,Evicted,8,Trade Paperback Nonfiction,1/10/2018
8,43,9780804190114,7.99,Timothy Snyder,On Tyranny,9,Trade Paperback Nonfiction,1/10/2018
5,10,9780393354775,16.95,Michael Lewis,The Undoing Project,10,Trade Paperback Nonfiction,1/10/2018
11,71,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,11,Trade Paperback Nonfiction,1/10/2018
13,51,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,12,Trade Paperback Nonfiction,1/10/2018
10,27,9781476739236,16,Robert Moor,On Trails,13,Trade Paperback Nonfiction,1/10/2018
,2,9780525562511,16.95,Luke Harding,Collusion,14,Trade Paperback Nonfiction,1/10/2018
,78,9781101911761,7.95,Chimamanda Ngozi Adichie,We Should All Be Feminists,15,Trade Paperback Nonfiction,1/10/2018
1,130,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,1/17/2018
2,7,9781101912379,20,Peter Frankopan,The Silk Roads,2,Trade Paperback Nonfiction,1/17/2018
3,18,9781455540013,15.99,Douglas Preston,The Lost City of the Monkey God,3,Trade Paperback Nonfiction,1/17/2018
6,19,9781250076229,16,Atul Gawande,Being Mortal,4,Trade Paperback Nonfiction,1/17/2018
4,3,9781501178511,18,Doug Stanton,12 Strong,5,Trade Paperback Nonfiction,1/17/2018
5,30,9781476759739,16,Jonah Berger,Invisible Influence,6,Trade Paperback Nonfiction,1/17/2018
9,44,9780804190114,7.99,Timothy Snyder,On Tyranny,7,Trade Paperback Nonfiction,1/17/2018
8,35,9780553447453,17,Matthew Desmond,Evicted,8,Trade Paperback Nonfiction,1/17/2018
11,72,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,9,Trade Paperback Nonfiction,1/17/2018
7,13,9781476796024,17,Alexandra Horowitz,Being a Dog,10,Trade Paperback Nonfiction,1/17/2018
12,52,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,11,Trade Paperback Nonfiction,1/17/2018
10,11,9780393354775,16.95,Michael Lewis,The Undoing Project,12,Trade Paperback Nonfiction,1/17/2018
,1,9780525434191,15,Joan Didion,South and West,13,Trade Paperback Nonfiction,1/17/2018
,26,9781451697728,16,Sy Montgomery,The Soul of an Octopus,14,Trade Paperback Nonfiction,1/17/2018
13,28,9781476739236,16,Robert Moor,On Trails,15,Trade Paperback Nonfiction,1/17/2018
1,131,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,1/24/2018
5,4,9781501178511,18,Doug Stanton,12 Strong,2,Trade Paperback Nonfiction,1/24/2018
2,8,9781101912379,20,Peter Frankopan,The Silk Roads,3,Trade Paperback Nonfiction,1/24/2018
3,19,9781455540013,15.99,Douglas J. Preston,The Lost City of the Monkey God,4,Trade Paperback Nonfiction,1/24/2018
4,20,9781250076229,16,Atul Gawande,Being Mortal,5,Trade Paperback Nonfiction,1/24/2018
6,31,9781476759739,16,Jonah Berger,Invisible Influence,6,Trade Paperback Nonfiction,1/24/2018
9,73,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,7,Trade Paperback Nonfiction,1/24/2018
8,36,9780553447453,17,Matthew Desmond,Evicted,8,Trade Paperback Nonfiction,1/24/2018
7,45,9780804190114,7.99,Timothy Snyder,On Tyranny,9,Trade Paperback Nonfiction,1/24/2018
12,12,9780393354775,16.95,Michael Lewis,The Undoing Project,10,Trade Paperback Nonfiction,1/24/2018
11,53,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,11,Trade Paperback Nonfiction,1/24/2018
10,14,9781476796024,17,Alexandra Horowitz,Being a Dog,12,Trade Paperback Nonfiction,1/24/2018
13,2,9780525434191,15,Joan Didion,South and West,13,Trade Paperback Nonfiction,1/24/2018
,79,9781101911761,7.95,Chimamanda Ngozi Adichie,We Should All Be Feminists,14,Trade Paperback Nonfiction,1/24/2018
,17,9781101904183,16,Ben Macintyre,Rogue Heroes,15,Trade Paperback Nonfiction,1/24/2018
1,132,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,1/31/2018
2,5,9781501178511,18,Doug Stanton,12 Strong,2,Trade Paperback Nonfiction,1/31/2018
3,9,9781101912379,20,Peter Frankopan,The Silk Roads,3,Trade Paperback Nonfiction,1/31/2018
4,20,9781455540013,15.99,Douglas J. Preston,The Lost City of the Monkey God,4,Trade Paperback Nonfiction,1/31/2018
5,21,9781250076229,16,Atul Gawande,Being Mortal,5,Trade Paperback Nonfiction,1/31/2018
6,32,9781476759739,16,Jonah Berger,Invisible Influence,6,Trade Paperback Nonfiction,1/31/2018
11,54,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,7,Trade Paperback Nonfiction,1/31/2018
7,74,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,8,Trade Paperback Nonfiction,1/31/2018
12,15,9781476796024,17,Alexandra Horowitz,Being a Dog,9,Trade Paperback Nonfiction,1/31/2018
10,13,9780393354775,16.95,Michael Lewis,The Undoing Project,10,Trade Paperback Nonfiction,1/31/2018
8,37,9780553447453,17,Matthew Desmond,Evicted,11,Trade Paperback Nonfiction,1/31/2018
9,46,9780804190114,7.99,Timothy Snyder,On Tyranny,12,Trade Paperback Nonfiction,1/31/2018
15,18,9781101904183,16,Ben Macintyre,Rogue Heroes,13,Trade Paperback Nonfiction,1/31/2018
,27,9781451697728,16,Sy Montgomery,The Soul of an Octopus,14,Trade Paperback Nonfiction,1/31/2018
13,3,9780525434191,15,Joan Didion,South and West,15,Trade Paperback Nonfiction,1/31/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,1,Young Adult,1/3/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,2,Young Adult,1/3/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,3,Young Adult,1/3/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,4,Young Adult,1/3/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",5,Young Adult,1/3/2018
,,9780062330628,17.99,Robin Benway,Far From the Tree,6,Young Adult,1/3/2018
,,9780399547966,18.99,Marie Lu,Warcross,7,Young Adult,1/3/2018
,,9780553496680,18.99,Nicola Yoon,The Sun Is Also a Star,8,Young Adult,1/3/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,9,Young Adult,1/3/2018
,,9780142423622,10.99,Ruta Sepetys,Salt to the Sea,10,Young Adult,1/3/2018
,,9781442472433,11.99,Neal Shusterman,Scythe,11,Young Adult,1/3/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,12,Young Adult,1/3/2018
,,9780062348647,12.99,Veronica Roth,Carve the Mark,13,Young Adult,1/3/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,14,Young Adult,1/3/2018
,,9780525428022,19.99,John Green,Looking for Alaska,15,Young Adult,1/3/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,1,Young Adult,1/10/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,2,Young Adult,1/10/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,3,Young Adult,1/10/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,4,Young Adult,1/10/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,5,Young Adult,1/10/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",6,Young Adult,1/10/2018
,,9780399547966,18.99,Marie Lu,Warcross,7,Young Adult,1/10/2018
,,9781442472433,11.99,Neal Shusterman,Scythe,8,Young Adult,1/10/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,9,Young Adult,1/10/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,10,Young Adult,1/10/2018
,,9780062348647,12.99,Veronica Roth,Carve the Mark,11,Young Adult,1/10/2018
,,9780525428022,19.99,John Green,Looking for Alaska,12,Young Adult,1/10/2018
,,9780062330628,17.99,Robin Benway,Far From the Tree,13,Young Adult,1/10/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,14,Young Adult,1/10/2018
,,9781101939499,17.99,Nic Stone,Dear Martin,15,Young Adult,1/10/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,1,Young Adult,1/17/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,2,Young Adult,1/17/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,3,Young Adult,1/17/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,4,Young Adult,1/17/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",5,Young Adult,1/17/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,6,Young Adult,1/17/2018
,,9780525428022,19.99,John Green,Looking for Alaska,7,Young Adult,1/17/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,8,Young Adult,1/17/2018
,,9780316013697,15.99,Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,9,Young Adult,1/17/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,10,Young Adult,1/17/2018
,,9780399547966,18.99,Marie Lu,Warcross,11,Young Adult,1/17/2018
,,9780142423622,10.99,Ruta Sepetys,Salt to the Sea,12,Young Adult,1/17/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,13,Young Adult,1/17/2018
,,9780544340688,9.99,Lois Lowry,The Giver,14,Young Adult,1/17/2018
,,9780062330628,17.99,Robin Benway,Far From the Tree,15,Young Adult,1/17/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,1,Young Adult,1/24/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,2,Young Adult,1/24/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,3,Young Adult,1/24/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,4,Young Adult,1/24/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",5,Young Adult,1/24/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,6,Young Adult,1/24/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,7,Young Adult,1/24/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,8,Young Adult,1/24/2018
,,9780544340688,9.99,Lois Lowry,The Giver,9,Young Adult,1/24/2018
,,9780062348647,12.99,Veronica Roth,Carve the Mark,10,Young Adult,1/24/2018
,,9780062330628,17.99,Robin Benway,Far From the Tree,11,Young Adult,1/24/2018
,,9780399547966,18.99,Marie Lu,Warcross,12,Young Adult,1/24/2018
,,9780142423622,10.99,Ruta Sepetys,Salt to the Sea,13,Young Adult,1/24/2018
,,9780525428022,19.99,John Green,Looking for Alaska,14,Young Adult,1/24/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,15,Young Adult,1/24/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,1,Young Adult,1/31/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,2,Young Adult,1/31/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,3,Young Adult,1/31/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,4,Young Adult,1/31/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",5,Young Adult,1/31/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,6,Young Adult,1/31/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,7,Young Adult,1/31/2018
,,9780316013697,15.99,Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,8,Young Adult,1/31/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,9,Young Adult,1/31/2018
,,9780399547966,18.99,Marie Lu,Warcross,10,Young Adult,1/31/2018
,,9780544340688,9.99,Lois Lowry,The Giver,11,Young Adult,1/31/2018
,,9780142423622,10.99,Ruta Sepetys,Salt to the Sea,12,Young Adult,1/31/2018
,,9780307931894,9.99,David Levithan,Every Day,13,Young Adult,1/31/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,14,Young Adult,1/31/2018
,,9780553496680,18.99,Nicola Yoon,The Sun Is Also a Star,15,Young Adult,1/31/2018
